,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
96,OhhStrong-,"1,844","1,183",214,91,"4,486,025",665,5,305,90h
97,bruh4414,"30,045","22,468","3,217","2,272","75,755,907","11,016",360,"5,489","1,739h"
98,i_ManKenntIhn,"23,217","17,906","2,727","1,587","63,259,684","9,586",302,"4,314","1,419h"
99,PlayThermite,"32,305","22,166","4,383","2,611","70,242,378","11,602",963,"6,994","1,643h"
100,PlayThermite,"22,611","10,842","2,756","1,038","49,602,648","12,609",102,"3,794","1,061h"
101,MiIoTF,"24,861","19,566","3,229","2,031","65,082,720","9,983",416,"5,260","1,489h"
102,k6461065644k,"1,535","1,641",295,262,"4,316,469",667,17,557,117h
103,LuizCWB-,"27,921","24,650","3,513","2,105","81,128,065","11,069",563,"5,618","1,812h"
104,UniqueCapo,"41,470","35,462","4,534","3,700","108,483,235","17,246",502,"8,234","2,645h"
105,VurpIos,"45,363","40,090","6,374","3,948","145,614,881","15,939",444,"10,322","3,336h"
106,AppEIa,"38,228","31,461","4,227","3,231","94,507,131","15,586",954,"7,458","2,298h"
107,oVezzy,"2,072","2,230",316,367,"5,309,734","1,013",22,683,170h
108,TooEzForAstroo,"4,982","4,596",532,485,"12,740,167","1,828",38,"1,017",312h
109,zUguetto_-_,"2,981","1,871",360,133,"7,111,018",938,20,493,157h
110,PopRockz-1,"33,918","28,126","4,142","2,507","80,808,220","14,585",464,"6,649","2,061h"
111,LeZFeril,"34,023","30,014","4,278","2,781","95,874,628","13,075",294,"7,059","2,275h"
112,Xx--Shiver--xX-,"31,179","23,360","3,762","2,411","65,986,587","12,561",488,"6,173","1,675h"
113,Kissy171,"45,294","31,277","5,642","2,996","112,184,230","16,440",599,"8,638","2,706h"
114,I3aMeR__,"36,715","29,356","3,891","3,139","97,152,865","15,079",266,"7,030","2,239h"
115,Sprinq_,"25,704","18,475","3,593","1,528","66,305,268","10,227",268,"5,121","1,573h"
116,DlCTXTOR,"11,932","11,449","2,120","1,807","29,663,064","3,898",262,"3,927",916h
117,MaIedetto,"46,546","36,609","5,077","3,660","111,140,621","17,245",656,"8,737","2,789h"
118,LkZ-i3,"49,165","39,842","5,188","3,833","108,599,878","20,876",655,"9,021","2,837h"
119,Repuxel,"31,239","24,545","3,429","2,449","81,850,235","12,569",431,"5,878","1,802h"
120,Cristiano444,"3,783","3,693",660,399,"9,979,204","1,292",37,"1,059",264h
121,GaIacTixZ,"22,379","15,122","2,346","1,518","55,566,973","9,009",217,"3,864","1,163h"
122,UncleSAGX,"1,224",907,206,56,"2,855,962",380,30,262,76h
123,zTERM__l,"48,745","35,682","5,758","3,310","130,253,614","16,964","1,005","9,068","3,052h"
124,ZK7_Origins,"28,865","23,169","3,271","2,231","68,381,700","12,099",418,"5,502","1,693h"
125,DiIoy,"67,963","44,379","9,406","5,321","135,943,162","28,940","1,018","14,727","3,340h"
126,qZayyx,"22,156","14,600","2,427",849,"54,763,519","9,032",58,"3,276","1,140h"
127,x_B4ST1_x,"38,992","33,490","4,429","2,826","109,358,437","14,034",849,"7,255","2,288h"
